we,ka,kb,C1,wind_speed,wind_direction,yaw,turbulence_intensity,num_turbines,power
0.5607402384185689,0.19986303862198532,0.17110438065698474,1.5384257661864469,7.646562016430624,271.4515646327691,-24.493878446927365,0.06,3,1886432.0114273208
0.8982721677986056,0.2567387494838652,0.37970597960024965,1.5771633854877998,12.33281417229011,285.00108871760017,3.3428470008611044,0.06,3,15000000.0
0.5684136083251867,0.23320668844629977,0.29625509946129347,1.4795306166918982,10.04254469577129,277.45124234528896,20.674086873834895,0.06,3,6886109.637244224
0.8759869325335528,0.18911023714939457,0.4601646017162605,1.6124749076059752,11.246378755614128,258.2144359792566,0.3104730962996849,0.06,3,13092162.636427091
0.6482170600779125,0.36317593266836057,0.384034870354491,1.5768905282675065,6.227541896475552,288.4581089431049,20.780509136620278,0.06,3,2148213.6560225077
0.510608416708723,0.38803791734466986,0.16556153301182253,1.5399467448040347,11.320435650487731,261.1634501166177,5.227647126124168,0.06,3,11721395.19223009
0.5749699858854409,0.36837670935790284,0.21786811552917387,1.640362671202,10.102663217019202,288.80159356560404,6.712954056638676,0.06,3,10366436.127084967
0.9984296425210775,0.2006845010146481,0.20195014042995385,1.6369095790443338,5.161391344425974,279.22150432144554,12.689280191590152,0.06,3,987293.2936998908
0.8090290523859593,0.2688405421845842,0.47922376975293557,1.6470184058452573,11.224162995341302,253.49184099101305,-7.632980833229941,0.06,3,13935607.33067927
0.8207055800829157,0.3268521075800017,0.37166677228761713,1.673365381590791,5.953291710819265,258.41600155690395,21.175010716314667,0.06,3,1659551.196509415
0.6339685211645028,0.26881450294685416,0.2814514787762807,1.472339578783407,9.676228146129368,263.80838843265934,5.14879822479401,0.06,3,6280443.378686008
0.6340093394322319,0.3190068511069815,0.3992530995804033,1.6896047136040406,5.040446111456075,250.56828171455948,22.19234246064771,0.06,3,1060036.6959832467
0.9953160190185762,0.2581589496782226,0.32420344071118573,1.6915543889924973,4.018792372148823,267.2395473319006,-15.684936724891912,0.06,3,207549.5993285876
0.5459028842869829,0.21487030419689757,0.2933644372889221,1.521585451456108,7.674794866784823,258.1029440820315,-13.078706879708246,0.06,3,3991918.5723478347
0.8561794445170926,0.3465328052140704,0.3616603528625384,1.6146525052523049,8.468613901322986,286.973144341688,19.58026341804292,0.06,3,5534718.444779121
0.6581927733579953,0.36009793630467324,0.34141851689184766,1.6898765034046392,11.413828684326521,289.8975017307904,-21.310562637326697,0.06,3,13246454.289478239
0.9375562164460869,0.3418905886270941,0.30475153788282555,1.7856853558975219,6.634447346637478,281.99089672823385,8.00381775061184,0.06,3,2650535.417755129
